sbd,toan,ngu_van,ngoai_ngu,li,hoa,sinh,lich_su,dia_ly,gdcd
02000165,5.60,7.00,7.80,-1,-1,-1,6.75,5.75,8.00,
02000166,8.20,7.50,7.20,4.25,8.00,8.75,-1,-1,-1,
02000167,8.80,7.50,9.80,8.00,7.50,6.00,-1,-1,-1,
02000168,8.20,7.25,8.80,7.25,3.50,4.75,-1,-1,-1,
02000169,8.20,6.00,7.20,4.00,9.75,8.00,-1,-1,-1,
02000170,7.60,6.50,9.40,6.75,8.50,6.50,-1,-1,-1,
02000171,8.00,6.00,9.00,7.50,8.25,6.75,-1,-1,-1,
02000172,6.80,6.75,7.20,5.50,3.75,5.00,-1,-1,-1,
02000173,8.80,5.75,-1,5.50,9.00,9.25,-1,-1,-1,
02000174,6.80,8.25,8.80,-1,-1,-1,6.50,7.50,9.00,
02000175,7.80,5.75,8.40,7.50,5.75,3.50,-1,-1,-1,
02000176,5.80,6.50,-1,-1,-1,-1,6.25,5.00,7.00,
02000177,8.00,5.75,7.80,7.50,4.50,3.25,-1,-1,-1,
02000178,7.00,5.75,7.60,4.00,6.50,6.00,-1,-1,-1,
02000179,7.60,5.00,9.20,7.00,7.75,6.50,-1,-1,-1,
02000180,7.20,7.25,7.60,6.75,8.50,7.00,-1,-1,-1,
02000181,7.60,7.75,8.00,-1,-1,-1,8.75,7.50,8.75,
02000182,7.40,5.75,8.80,5.50,5.50,6.50,-1,-1,-1,
02000183,8.20,6.25,8.60,7.50,7.75,6.00,-1,-1,-1,
02000184,7.20,6.00,8.00,5.75,2.75,5.00,-1,-1,-1,
02000185,8.20,7.00,6.80,7.25,3.50,4.75,-1,-1,-1,
02000186,5.60,6.25,8.60,-1,-1,-1,6.00,7.25,7.50,
02000187,6.00,6.25,5.80,-1,-1,-1,6.25,7.00,8.00,
02000188,8.40,8.00,9.20,7.25,8.25,7.50,-1,-1,-1,
02000189,7.40,7.50,-1,-1,-1,-1,8.50,9.50,8.50,
02000190,8.20,6.25,9.00,7.25,5.25,4.25,-1,-1,-1,
02000191,8.20,5.25,6.60,7.25,7.50,6.50,-1,-1,-1,
02000192,7.20,7.50,5.00,6.00,7.00,6.00,-1,-1,-1,
02000193,8.20,6.75,6.60,7.00,7.25,4.50,-1,-1,-1,
02000194,7.80,6.25,8.80,5.50,5.00,6.25,-1,-1,-1,
02000195,8.00,7.50,8.60,-1,-1,-1,6.50,7.75,8.00,
02000196,4.00,6.75,6.20,-1,-1,-1,7.75,5.75,6.50,
02000197,5.20,5.75,7.60,-1,-1,-1,6.25,6.75,8.50,
02000198,7.60,7.25,-1,-1,-1,-1,7.50,8.75,9.25,
02000199,7.40,5.50,-1,-1,-1,-1,8.50,8.50,9.00,
02000200,8.20,5.50,7.40,4.50,10.00,9.00,-1,-1,-1,
02000201,8.20,7.50,9.00,-1,-1,-1,7.75,8.50,9.50,
02000202,8.20,8.00,6.40,-1,-1,-1,7.75,7.25,8.50,
02000203,7.60,6.75,9.80,5.75,3.75,5.25,-1,-1,-1,
02000204,6.40,6.25,7.00,5.00,7.00,4.00,-1,-1,-1,
02000205,8.40,6.75,-1,3.25,9.25,7.75,-1,-1,-1,
02000206,8.60,2.75,-1,4.25,8.50,8.75,-1,-1,-1,
02000207,8.20,6.50,9.40,2.50,9.00,9.25,-1,-1,-1,
02000208,8.00,8.00,-1,7.00,7.75,7.25,-1,-1,-1,
02000209,7.80,7.50,-1,6.50,8.25,5.75,-1,-1,-1,
02000210,7.40,7.50,7.40,-1,-1,-1,7.50,8.50,8.50,
02000211,7.00,7.25,7.40,5.50,4.50,5.25,-1,-1,-1,
02000212,8.60,5.00,8.80,6.50,9.00,6.75,-1,-1,-1,
02000213,8.00,6.00,9.00,8.50,6.25,5.75,-1,-1,-1,
02000214,6.60,6.50,7.80,4.00,4.25,4.50,-1,-1,-1,
02000215,8.20,6.25,9.40,6.00,7.00,4.50,-1,-1,-1,
02000216,8.00,7.50,9.20,7.50,7.00,6.00,-1,-1,-1,
02000217,8.40,6.75,9.60,7.00,4.25,5.00,-1,-1,-1,
02000218,9.00,8.00,8.20,6.75,7.25,6.25,-1,-1,-1,
02000219,7.80,5.25,8.60,6.75,5.50,5.75,-1,-1,-1,
02000220,7.40,5.75,8.40,8.00,4.00,5.50,-1,-1,-1,
02000221,8.20,7.00,9.00,8.00,4.75,4.75,-1,-1,-1,
02000222,5.20,7.00,8.40,-1,-1,-1,7.00,5.75,7.50,
02000223,6.60,7.00,8.00,5.25,3.75,5.00,-1,-1,-1,
02000224,6.40,6.00,5.40,5.25,4.75,5.25,-1,-1,-1,
02000225,6.60,7.25,7.60,7.00,5.75,4.25,-1,-1,-1,
02000226,8.00,4.50,6.40,4.00,9.00,9.00,-1,-1,-1,
02000227,9.00,6.75,9.60,7.75,9.00,6.50,-1,-1,-1,
02000228,8.00,6.75,6.00,7.50,8.50,5.50,-1,-1,-1,
02000229,6.60,7.00,9.40,-1,-1,-1,5.75,5.50,8.25,
02000230,7.40,6.00,-1,-1,-1,-1,7.25,8.00,8.75,
02000231,6.80,8.25,9.00,6.75,8.25,8.25,-1,-1,-1,
02000232,4.60,6.25,5.80,-1,-1,-1,7.75,8.00,7.50,
02000233,6.80,6.75,10.00,6.25,5.25,6.50,-1,-1,-1,
02000234,5.60,5.50,7.80,4.25,5.75,5.00,-1,-1,-1,
02000235,6.00,7.50,8.80,-1,-1,-1,6.50,7.75,6.75,
02000236,6.80,4.00,9.80,4.25,6.25,5.50,-1,-1,-1,
02000237,7.00,7.75,8.40,2.50,7.25,4.00,-1,-1,-1,
02000238,5.60,6.00,8.60,4.50,7.25,5.75,-1,-1,-1,
02000239,8.00,5.00,8.20,7.00,5.75,5.50,-1,-1,-1,
02000240,7.20,6.50,9.00,5.75,5.00,5.00,-1,-1,-1,
02000241,7.60,7.25,-1,7.25,7.00,7.25,-1,-1,-1,
02000242,6.40,8.00,8.60,-1,-1,-1,6.50,6.00,8.75,
02000243,7.80,8.00,-1,-1,-1,-1,8.75,8.00,9.25,
02000244,7.60,7.25,8.60,7.25,4.25,2.25,-1,-1,-1,
02000245,6.60,5.50,-1,3.25,7.50,7.00,-1,-1,-1,
02000246,7.60,8.25,9.00,7.75,5.00,6.00,-1,-1,-1,
02000247,8.60,7.75,9.60,7.00,8.00,7.25,-1,-1,-1,
02000248,9.00,6.00,8.80,8.25,8.50,5.25,-1,-1,-1,
02000249,4.80,8.75,8.60,-1,-1,-1,6.75,7.25,8.00,
02000250,8.40,8.00,8.60,-1,-1,-1,8.25,7.25,8.25,
02000251,8.80,7.75,-1,4.25,9.00,8.75,-1,-1,-1,
02000252,8.20,8.25,9.20,-1,-1,-1,7.50,6.75,7.75,
02000253,8.20,8.75,8.40,5.25,5.50,5.25,-1,-1,-1,
02000254,7.80,8.75,8.80,8.25,5.75,5.75,-1,-1,-1,
02000255,7.40,6.25,-1,5.00,6.00,7.00,-1,-1,-1,
02000256,8.20,8.25,9.40,-1,-1,-1,9.00,8.25,9.00,
02000257,8.40,8.25,8.60,-1,-1,-1,8.00,8.25,9.25,
02000258,8.40,7.25,9.00,2.75,8.25,3.75,-1,-1,-1,
02000259,6.40,7.25,8.40,7.00,4.75,5.25,-1,-1,-1,
02000260,7.20,5.50,7.00,4.25,7.25,8.00,-1,-1,-1,
02000261,7.00,7.75,9.80,5.00,5.50,6.75,-1,-1,-1,
02000262,8.40,7.75,9.20,6.25,5.75,6.50,-1,-1,-1,
02000263,7.20,7.00,9.40,4.50,9.00,4.75,-1,-1,-1,
02000264,8.00,7.50,9.00,5.50,5.50,7.75,-1,-1,-1,
02000265,8.20,7.00,9.00,8.00,2.75,5.75,-1,-1,-1,
02000266,8.20,6.25,8.20,6.00,4.50,5.25,-1,-1,-1,
02000267,8.60,5.75,6.00,8.75,7.75,5.25,-1,-1,-1,
